From	To
GDA	9615
SCN3A	6328
SCN3B	55800
RPLP2	6181
RPLP2	643949
GFER	2671
SNORA67	1973
SNORA67	26781
SNORA67	728698
SNORA68	26780
SNORA65	26783
SNORA63	6043
SNORA64	26784
SNORA64	574042
SNORA72	26775
PIP5KL1	138429
BTBD1	53339
RPLP0	122589
RPLP0	113157
RPLP0	220717
RPLP0	6175
BTBD2	55643
RPLP1	6176
BTBD3	22903
SNORA7A	677797
SNORA7A	6161
SNORA7A	619563
ACAA2	10449
ACAA2	648603
TMEFF2	23671
SNORA7B	677797
SNORA7B	6161
SNORA7B	619563
TMEFF1	729538
TMEFF1	91283
TMEFF1	8577
LOC143666	143666
LOC401324	401324
TFPT	29844
SCN2B	6327
BARHL1	56751
UGCG	7357
BARHL2	343472
SCN2A	6326
BTBD7	55727
SNORA78	677844
BTBD6	90135
SNORA79	677845
GEM	2669
SNORA75	654321
SNORA76	677842
OR1S2	219958
BTBD9	114781
OR1S1	219959
SNORA77	677843
BTBD8	284697
SNORA81	677847
SNORA84	100124534
TAGLN	6876
SNORA80	677823
SNORA80	677846
TFPI	7035
HSD11B1	3290
HSD11B2	3291
TMPRSS11BNL	401136
ACAA1	30
RALGPS2	55103
SCN1A	6323
RALGPS1	9649
SCN1B	6324
LOC392196	392196
T	6862
ATN1	1822
TYRO3P	7302
FAIM	55179
PPAPDC1B	84513
GGH	8836
ACACA	31
OR1Q1	158131
PPAPDC1A	196051
ACACB	32
ZSCAN4	201516
SULT6B1	391365
ZSCAN1	284312
ZSCAN2	54993
GGN	199720
GH2	2689
GH1	2688
GNGT1	2792
GNGT2	2793
UBTFL1	728231
UBTFL1	643615
UBTFL1	129870
UBTFL1	642623
UBTFL1	120126
LOC441666	441666
PARP9	83666
PARP8	79668
POP1	10940
PARP6	56965
PARP3	10039
PARP4	143
POP4	10775
PARP1	142
ACAD11	27031
ACAD11	84129
POP5	51367
PARP2	10038
ACAD10	80724
POP7	10248
SNORA26	677810
SNORA25	79101
SNORA25	684959
SNORA25	692063
GFAP	2670
SNORA24	677809
BCKDK	10295
SNORA23	677808
SNORA22	677807
SNORA21	619505
SNORA20	677806
SNORA29	677812
SNORA28	677811
SNORA27	619499
SNORA2A	677794
SNORA2A	677793
MGRN1	23295
SNORA2B	677794
SNORA2B	677793
ANP32A	723972
ANP32A	8125
AMY2B	280
AMY2A	279
GHR	2690
PARVG	64098
SNORA34	677815
SNORA37	677819
SNORA37	677813
MTERF	7978
GIP	2695
AIFM3	150209
SNORA31	677814
ANP32B	646791
ANP32B	10541
AIFM2	84883
SNORA30	677819
SNORA30	677813
ANP32C	23520
SNORA33	594839
ANP32D	23519
FLJ10038	55056
SNORA32	79101
SNORA32	684959
SNORA32	692063
ANP32E	81611
SLC3A2	6520
GIF	2694
SLC3A1	6519
CCT6A	908
SNORA39	677840
SNORA39	677839
SNORA39	26776
SNORA39	26777
SNORA39	677821
SNORA39	677837
SNORA38	677820
SNORA38	100124536
DUXAP10	503639
LOC100133315	100133315
BRWD1	54014
FANCD2	2177
SNORA40	677822
AMY1C	276
AMY1C	277
AMY1C	278
AMY1B	276
AMY1B	277
AMY1B	278
PARVB	29780
AMY1A	276
AMY1A	277
AMY1A	278
PARVA	55742
SNORA44	677825
SCML4	256380
PTOV1	53635
SNORA43	677824
MDS2	259283
SNORA42	677823
SNORA42	677846
SNORA41	619569
ECEL1	9427
SNORA48	652965
GK2	2712
SNORA47	677828
SNORA46	677827
SNORA45	619562
SNORA45	677826
UGDH	7358
PART1	25859
SNORA49	677829
POT1	25913
LOC401320	401320
CCT6B	10693
PARS2	25973
DHCR7	1717
GK5	256356
SNORA50	677830
SNORA51	677831
SNORA53	677832
SNORA52	619565
SNORA55	677834
SNORA54	677833
SNORA57	692158
ATRN	8455
SNORA58	677836
LOC100133331	100133331
SNORA5A	654319
SNORA5A	677795
SNORA5A	677796
MANBA	4126
SNORA5B	654319
SNORA5B	677795
SNORA5B	677796
SNORA5C	654319
SNORA5C	677795
SNORA5C	677796
SPATA2L	124044
SNORA60	677840
SNORA60	677839
SNORA60	26776
SNORA60	26777
SNORA60	677821
SNORA60	677837
SNORA61	677838
SNORA62	6044
SNORA62	574040
QRFPR	84109
SPATA20	64847
OR1J2	26740
OR1J1	347168
SNAR-G1	100126780
OR1J4	26219
NR2E3	10002
NR2E1	7101
CTNNBL1	56259
SNAR-G2	100170228
NLRC5	84166
NLRC4	58484
NUDCD3	23386
NLRC3	197358
NUDCD2	134492
ATG5	9474
GALR1	2587
NUDCD1	84955
ATG7	10533
GALR3	8484
GALR2	8811
SPATA21	374955
SPATA22	84690
NET1	10276
SPATA24	202051
BCL10	8915
BCL10	646626
OR1K1	392392
B3GNTL1	146712
FADD	8772
IL11RA	3590
LOC729444	729444
SPATA18	132671
SPATA19	219938
SPATA16	83893
SPATA17	128153
NEU1	4758
SPATA12	353324
NEU3	10825
NEU2	4759
SPATA13	221178
NEU4	129807
ARHGDIG	398
TFEB	7942
ST8SIA1	6489
ST8SIA3	51046
ST8SIA2	8128
ATF1	466
NR2C2	7182
ATF2	1386
EPM2AIP1	9852
NR2C1	7181
QSER1	79832
TFEC	22797
MANEA	79694
SCN9A	6335
TFF2	7032
TFF3	7033
TFF1	7031
ARHGDIA	396
ARHGDIB	397
OR1I1	126370
SHPRH	257218
MEA1	4201
FLJ25758	497049
ATG3	64422
MPRIP	729143
MPRIP	23164
HDAC5	10014
ATF6	22926
ATF5	22809
HDAC4	9759
ATF4	643159
ATF4	468
HDAC3	8841
HDAC2	3066
ATF3	467
HDAC1	3065
ST8SIA6	338596
ST8SIA4	7903
FAAH	2166
ATF7	11016
ST8SIA5	29906
SNORD114-10	767569
SNORD114-10	767590
SNORD114-10	767591
SNORD114-10	767592
SNORD114-10	767593
SNORD114-10	767594
SNORD114-10	767595
SNORD114-10	767577
SNORD114-10	767596
SNORD114-10	767578
SNORD114-10	767597
SNORD114-10	767579
SNORD114-10	767598
SNORD114-10	767599
SNORD114-10	767600
SNORD114-10	767608
SNORD114-10	767609
SNORD114-10	767606
SNORD114-10	767604
SNORD114-10	767605
SNORD114-10	767603
SNORD114-10	767612
SNORD114-10	767564
SNORD114-10	767581
SNORD114-10	767611
SNORD114-10	767563
SNORD114-10	767582
SNORD114-10	767610
SNORD114-10	767562
SNORD114-10	767580
SNORD114-10	767561
SNORD114-10	767568
SNORD114-10	767567
SNORD114-10	767566
SNORD114-10	767565
SNORD114-10	767589
SNORD114-10	767588
SNORD114-10	767585
SNORD114-10	767583
SNORD114-10	767584
SCN8A	6334
SNORD114-11	767569
SNORD114-11	767590
SNORD114-11	767591
SNORD114-11	767592
SNORD114-11	767593
SNORD114-11	767594
SNORD114-11	767595
SNORD114-11	767577
SNORD114-11	767596
SNORD114-11	767578
SNORD114-11	767597
SNORD114-11	767579
SNORD114-11	767598
SNORD114-11	767599
SNORD114-11	767600
SNORD114-11	767608
SNORD114-11	767609
SNORD114-11	767606
SNORD114-11	767604
SNORD114-11	767605
SNORD114-11	767603
SNORD114-11	767612
SNORD114-11	767564
SNORD114-11	767581
SNORD114-11	767611
SNORD114-11	767563
SNORD114-11	767582
SNORD114-11	767610
SNORD114-11	767562
SNORD114-11	767580
SNORD114-11	767561
SNORD114-11	767568
SNORD114-11	767567
SNORD114-11	767566
SNORD114-11	767565
SNORD114-11	767589
SNORD114-11	767588
SNORD114-11	767585
SNORD114-11	767583
SNORD114-11	767584
HDAC9	9734
FTLP10	100130017
HDAC7	51564
HINT3	135114
ATL2	64225
HP1BP3	50809
ATL1	51062
HINT1	3094
HINT2	84681
ATL3	25923
SNORD114-14	767569
SNORD114-14	767590
SNORD114-14	767591
SNORD114-14	767592
SNORD114-14	767593
SNORD114-14	767594
SNORD114-14	767595
SNORD114-14	767577
SNORD114-14	767596
SNORD114-14	767578
SNORD114-14	767597
SNORD114-14	767579
SNORD114-14	767598
SNORD114-14	767599
SNORD114-14	767600
SNORD114-14	767608
SNORD114-14	767609
SNORD114-14	767606
SNORD114-14	767604
SNORD114-14	767605
SNORD114-14	767603
SNORD114-14	767612
SNORD114-14	767564
SNORD114-14	767581
SNORD114-14	767611
SNORD114-14	767563
SNORD114-14	767582
SNORD114-14	767610
SNORD114-14	767562
SNORD114-14	767580
SNORD114-14	767561
SNORD114-14	767568
SNORD114-14	767567
SNORD114-14	767566
SNORD114-14	767565
SNORD114-14	767589
SNORD114-14	767588
SNORD114-14	767585
SNORD114-14	767583
SNORD114-14	767584
SNORD114-15	767569
SNORD114-15	767590
SNORD114-15	767591
SNORD114-15	767592
SNORD114-15	767593
SNORD114-15	767594
SNORD114-15	767595
SNORD114-15	767577
SNORD114-15	767596
SNORD114-15	767578
SNORD114-15	767597
SNORD114-15	767579
SNORD114-15	767598
SNORD114-15	767599
SNORD114-15	767600
SNORD114-15	767608
SNORD114-15	767609
SNORD114-15	767606
SNORD114-15	767604
SNORD114-15	767605
SNORD114-15	767603
SNORD114-15	767612
SNORD114-15	767564
SNORD114-15	767581
SNORD114-15	767611
SNORD114-15	767563
SNORD114-15	767582
SNORD114-15	767610
SNORD114-15	767562
SNORD114-15	767580
SNORD114-15	767561
SNORD114-15	767568
SNORD114-15	767567
SNORD114-15	767566
SNORD114-15	767565
SNORD114-15	767589
SNORD114-15	767588
SNORD114-15	767585
SNORD114-15	767583
SNORD114-15	767584
OR1N1	138883
SNORD114-12	767569
SNORD114-12	767590
SNORD114-12	767591
SNORD114-12	767592
SNORD114-12	767593
SNORD114-12	767594
SNORD114-12	767595
SNORD114-12	767577
SNORD114-12	767596
SNORD114-12	767578
SNORD114-12	767597
SNORD114-12	767579
SNORD114-12	767598
SNORD114-12	767599
SNORD114-12	767600
SNORD114-12	767608
SNORD114-12	767609
SNORD114-12	767606
SNORD114-12	767604
SNORD114-12	767605
SNORD114-12	767603
SNORD114-12	767612
SNORD114-12	767564
SNORD114-12	767581
SNORD114-12	767611
SNORD114-12	767563
SNORD114-12	767582
SNORD114-12	767610
SNORD114-12	767562
SNORD114-12	767580
SNORD114-12	767561
SNORD114-12	767568
SNORD114-12	767567
SNORD114-12	767566
SNORD114-12	767565
SNORD114-12	767589
SNORD114-12	767588
SNORD114-12	767585
SNORD114-12	767583
SNORD114-12	767584
SNORD114-13	767569
SNORD114-13	767590
SNORD114-13	767591
SNORD114-13	767592
SNORD114-13	767593
SNORD114-13	767594
SNORD114-13	767595
SNORD114-13	767577
SNORD114-13	767596
SNORD114-13	767578
SNORD114-13	767597
SNORD114-13	767579
SNORD114-13	767598
SNORD114-13	767599
SNORD114-13	767600
SNORD114-13	767608
SNORD114-13	767609
SNORD114-13	767606
SNORD114-13	767604
SNORD114-13	767605
SNORD114-13	767603
SNORD114-13	767612
SNORD114-13	767564
SNORD114-13	767581
SNORD114-13	767611
SNORD114-13	767563
SNORD114-13	767582
SNORD114-13	767610
SNORD114-13	767562
SNORD114-13	767580
SNORD114-13	767561
SNORD114-13	767568
SNORD114-13	767567
SNORD114-13	767566
SNORD114-13	767565
SNORD114-13	767589
SNORD114-13	767588
SNORD114-13	767585
SNORD114-13	767583
SNORD114-13	767584
SNORD114-18	767569
SNORD114-18	767590
SNORD114-18	767591
SNORD114-18	767592
SNORD114-18	767593
SNORD114-18	767594
SNORD114-18	767595
SNORD114-18	767577
SNORD114-18	767596
SNORD114-18	767578
SNORD114-18	767597
SNORD114-18	767579
SNORD114-18	767598
SNORD114-18	767599
